id,name,slot_type,rarity,base_atk,base_def,base_hp,base_spd,base_luk,is_exclusive,exclusive_character_id,description
WEAPON_025,"インダストリアル・デモリッシャー",WEAPON,SR,55,0,0,-5,0,FALSE,,"鉄骨をもへし折る超重量の解体用ハンマー。厚い防具も力任せに粉砕する。"
WEAPON_026,"仕込み日本刀『黒曜』",WEAPON,SR,45,0,0,0,8,FALSE,,"傘や杖に偽装された、黒い漆塗りの刀身を持つ極上の日本刀。"
WEAPON_027,"アサルトライフル",WEAPON,SR,48,0,0,-1,0,FALSE,,"レールシステムを配し、ドットサイトとフォアグリップを備えた近代突撃銃。"
WEAPON_028,"高周波ブレード",WEAPON,SR,42,0,0,0,10,FALSE,,"刃先を微細に振動させることで、肉体をバターのように切り裂く違法ツール。"
WEAPON_029,"化学注入式ダガー",WEAPON,SR,34,0,0,0,15,FALSE,,"刀身の中空ルートから劇薬や毒素を傷口に直接送り込む暗殺用ナイフ。"
WEAPON_030,"散弾銃『レイザー』",WEAPON,SR,47,0,0,-3,0,FALSE,,"散弾の衝撃波で敵の姿勢を大きく崩す、暴徒鎮圧用ショットガン。"
WEAPON_031,"ヘヴィリボルバー『コフィン』",WEAPON,SR,50,0,0,0,5,FALSE,,"「棺桶」の名を冠する大型拳銃。土壇場での一撃必殺に賭ける銃士の相棒。"
WEAPON_032,"デュアルカスタムピストル",WEAPON,SR,38,0,0,7,0,FALSE,,"二挺で一対となるよう完全調整された、銃身軽量化カスタムピストル。"
WEAPON_033,"スタン警棒カスタム",WEAPON,SR,32,12,0,0,0,FALSE,,"厚手のラバーグリップと強化チタン芯で作られた、極めて頑丈なスタンバトン。"
WEAPON_034,"アサシンマチェテ",WEAPON,SR,41,0,0,0,10,FALSE,,"裏社会の掃除屋が愛用する、血抜きの溝が深く掘られた肉厚のマチェテ。"
WEAPON_035,"コンパクトサブピストル",WEAPON,SR,36,0,0,6,0,FALSE,,"ジャケットの内ポケットに忍ばせられる、隠密性と連射力に長けた機関拳銃。"
WEAPON_036,"カタナ『影打ち』",WEAPON,SR,43,0,0,0,9,FALSE,,"刃を黒檀色に焼き入れした無反射の日本刀。敵の影を縫うような鋭い突きを放つ。"
WEAPON_037,"消音スナイパーライフル",WEAPON,SR,53,0,0,-4,0,FALSE,,"分解してアタッシュケースに収納可能な、特製の消音ボルトアクションライフル。"
WEAPON_038,"スチールハンドクロー",WEAPON,SR,33,0,0,9,0,FALSE,,"拳に括り付ける三列のスチール爪。敵の衣服や防具を引き裂く。"
WEAPON_039,"サイレントスチール弓",WEAPON,SR,39,0,0,0,12,FALSE,,"カーボン製リムを採用した高精度クロスボウ。風を切り裂きターゲットの喉元を射抜く。"
WEAPON_040,"変形蛇腹刃",WEAPON,SR,40,0,0,4,0,FALSE,,"節々をワイヤーで連結し、鞭のようにしならせて広範囲を薙ぎ払う特殊刀。"
WEAPON_041,"カービンライフル",WEAPON,SR,46,8,0,0,0,FALSE,,"軽量合金で成形された近代戦闘用の自動小銃。取り回しが極めて良い。"
WEAPON_042,"アイアンナックル『阿修羅』",WEAPON,SR,37,0,0,8,0,FALSE,,"地下格闘技の闘士が素手に巻き付ける、鉄鋲が埋め込まれた強化ナックル。"
WEAPON_043,"デス・バイパー",WEAPON,SSR,70,0,0,8,15,FALSE,,"毒蛇の牙のように鋭く湾曲した、クロームスチール製の超一級コンバットマチェテ。"
WEAPON_044,"サイバー・カタナ『電光石火』",WEAPON,SSR,65,0,0,20,10,FALSE,,"最先端の複合カーボン素材で打たれた日本刀。極限の軽量化により、神速の抜刀を可能にする。"
WEAPON_045,"ショットガン『終末の鐘』",WEAPON,SSR,85,0,150,-5,0,FALSE,,"強力な散弾を放つ近接掃射散弾銃。一撃で敵の戦闘意思を完膚なきまでに叩き潰す。"
WEAPON_046,"【保留専用：レオン専用】インゴット・ファング",WEAPON,SSR,75,0,0,6,20,TRUE,99999999-9999-9999-9999-999999999999,"【保留】対象キャラクターアセット未実装のため枠のみ保留。画像生成なし。"
WEAPON_047,"【レイジ専用】レヴ・イグニッション",WEAPON,SSR,80,0,0,5,10,TRUE,11111111-1111-1111-1111-111111111111,"赤いナックルガードと漆黒の肉厚ブレードを持つ、レイジ特製のコンバットナイフ。"
WEAPON_048,"【ルイ専用】サイバーデッキ・ブレード",WEAPON,SSR,60,0,80,25,0,TRUE,33333333-3333-3333-3333-333333333333,"ホログラフィックキーボードと超伝導ブレードを融合させた、情報屋ルイ愛用のサイバー武装。"
WEAPON_049,"【チャン専用】毒蛇の黒刃",WEAPON,SSR,72,0,0,10,15,TRUE,22222222-2222-2222-2222-222222222222,"特製の遅効性神経毒がブレード表面に焼き付けられた、池袋のマフィア幹部チャン専用のナイフ。"
WEAPON_050,"【保留専用：ユウキ専用】支配者の鉄扇",WEAPON,SSR,75,20,0,0,15,TRUE,99999999-9999-9999-9999-999999999999,"【保留】対象キャラクターアセット未実装のため枠のみ保留。画像生成なし。"
HEAD_001,"ストリートキャップ",HEAD,N,0,0,30,0,0,FALSE,,"ストリート系ブランドのロゴが入ったカジュアルな黒いアジャスター付きキャップ帽。"
HEAD_002,"パンクバンダナ",HEAD,N,0,0,20,1,0,FALSE,,"額にきつく巻き付けた赤いバンダナ。ストリートでのトレードマーク。"
HEAD_003,"ニットキャップ",HEAD,N,0,1,25,0,0,FALSE,,"アクリル繊維で編み込まれた厚手の黒いニット帽。"
HEAD_004,"ワークキャップ",HEAD,N,0,0,35,0,0,FALSE,,"擦り切れたダック生地で作られたタフなフラット型のワークキャップ。"
HEAD_005,"サングラス",HEAD,R,0,0,80,0,2,FALSE,,"偏光レンズを採用した、シャープなメタルフレーム of 黒いサングラス。"
HEAD_006,"ハッカーヘッドセット",HEAD,R,0,0,70,3,0,FALSE,,"ノイズキャンセリングイヤーカップを備えた、ブラックとネオングリーンのヘッドセット。"
HEAD_007,"マフィアフェドラ",HEAD,R,0,0,90,0,4,FALSE,,"上質なウールフェルトで作られた中折れ帽。深めに被るのがお決まり。"
HEAD_008,"防毒マスク",HEAD,R,0,0,100,0,0,FALSE,,"二連式の吸気キャニスターを備えた、フルフェイス型の黒いゴム製マスク。"
HEAD_009,"カーボンライダーヘルメット",HEAD,R,0,4,120,0,0,FALSE,,"強化カーボンで作られた頑丈なフルフェイスヘルメット。ミラーシールド仕様。"
HEAD_010,"アンティークゴーグル",HEAD,R,0,0,75,0,5,FALSE,,"経年変化した本革のストラップと真鍮製のフレームで構成されたレトロなゴーグル。"
HEAD_011,"バリスティックヘルメット",HEAD,SR,0,10,200,0,0,FALSE,,"特殊部隊向けに開発されたケブラー製の軽量防弾ヘルメット。"
HEAD_012,"マルチナイトビジョンゴーグル",HEAD,SR,0,0,180,0,8,FALSE,,"暗闇での熱感知・暗視が可能な4眼式の高性能戦闘用ゴーグル。"
HEAD_013,"重工業プロテクト溶接マスク",HEAD,SR,0,0,220,0,0,FALSE,,"強烈なアーク光や火花を遮断する、強化樹脂製のインダストリアルマスク。"
HEAD_014,"バリスティックフェイスシールド",HEAD,SR,0,15,250,0,0,FALSE,,"顔面全体を覆う防弾仕様のスチールプレートマスク。圧倒的な威圧感を与える。"
HEAD_015,"サイバースマートグラス",HEAD,SR,0,0,150,8,0,FALSE,,"網膜投影で敵のステータスや射線をリアルタイム解析する近未来の眼鏡。"
HEAD_016,"隠密用アサシンフード",HEAD,SR,0,0,170,0,0,FALSE,,"影と同化するために開発された、防刃繊維を織り込んだ深いフード。"
HEAD_017,"サイバー・バイザー『千里眼』",HEAD,SSR,0,0,380,10,10,FALSE,,"敵の微細な体温変化や心拍数を検知し、回避不能の急所撃ちをサポートするスマートバイザー。"
HEAD_018,"ヘルメット『防塁』",HEAD,SSR,0,20,500,0,0,FALSE,,"極厚のチタンプレートを追加した特注ヘルメット。銃火の真ん中でも怯まない防壁。"
HEAD_019,"【保留専用：ユウキ専用】支配者のモノクル",HEAD,SSR,0,0,400,0,15,TRUE,99999999-9999-9999-9999-999999999999,"【保留】対象キャラクターアセット未実装のため枠のみ保留。画像生成なし。"
HEAD_020,"【セリカ専用】艶花の黒簪",HEAD,SSR,0,0,350,12,15,TRUE,99999999-9999-9999-9999-999999999999,"黒い金属の針にマゼンタに輝く桜の細工を施した、セリカ愛用の武器を兼ねるかんざし。"
BODY_001,"ウインドブレーカー",BODY,N,0,5,50,0,0,FALSE,,"薄手のナイロンで作られた、防風性の高いスポーツ用ジップアップアウター。"
BODY_002,"デニムベスト",BODY,N,0,6,60,0,0,FALSE,,"背中にストリートのスラングがペンキで手書きされた、厚手のカットオフデニムベスト。"
BODY_003,"作業用つなぎ",BODY,N,0,7,65,0,0,FALSE,,"各所にオイル染みが残る、重作業向けの綿キャンバス地つなぎ。"
BODY_004,"サテンブルゾン",BODY,N,0,5,55,0,0,FALSE,,"独特の鈍い光沢を放つサテン生地で作られた、ストリート用の薄型ジャンパー。"
BODY_005,"レザージャケット",BODY,N,0,8,70,0,0,FALSE,,"シングル仕様のシンプルなラム革レザージャケット。"
BODY_006,"ルーズサイズフーディ",BODY,N,0,4,80,0,0,FALSE,,"厚手のヘヴィウエイトスウェット生地で作られた、極太アームのプルオーバーパーカー。"
BODY_007,"ブランドパーカー",BODY,R,0,15,150,0,0,FALSE,,"デザイン性に優れた、肉厚コットンのストリート系ブランドパーカー。"
BODY_008,"ロングレザーコート",BODY,R,0,18,180,0,0,FALSE,,"重厚な黒の牛革で仕立てられたロング丈のコート。"
BODY_009,"ダブルライダース",BODY,R,0,20,160,0,0,FALSE,,"多数のジッパーやスタッズが打ち込まれた、頑丈なカウハイド製のダブルライダース。"
BODY_010,"インナーシャツ",BODY,R,0,14,190,0,0,FALSE,,"服の下に着用する、吸汗速乾性に優れた伸縮素材の黒いインナーシャツ。"
BODY_011,"ワークデニムジャケット",BODY,R,0,16,170,0,0,FALSE,,"三本針ステッチと金属製ネオバボタンが特徴の、無骨なデニムジャケット。"
BODY_012,"プロテクトパファーベスト",BODY,R,0,17,195,0,0,FALSE,,"ボリューム感のあるキルティング加工が施された、ジップアップ式のダウンベスト。"
BODY_013,"フライトジャケット",BODY,R,0,19,175,0,0,FALSE,,"ナイロンツイル素材で作られた、中綿入りのヘヴィミリタリージャケット。"
BODY_014,"防弾ベスト",BODY,SR,0,35,300,0,0,FALSE,,"前後に超高強度セラミックプレートを装填した本格的な防弾チョッキ。"
BODY_015,"アサシンテックウェアコート",BODY,SR,0,0,280,5,0,FALSE,,"耐水性と隠密性に特化した、深いフードを備えたサイバーテックウェア。"
BODY_016,"強化耐衝撃重装アーマー",BODY,SR,0,50,450,-3,0,FALSE,,"チタン合金製の増加装甲を取り付けた、歩くトーチカのような重防具。"
BODY_017,"ナノファイバー防刃アウター",BODY,SR,0,30,350,0,0,FALSE,,"刃物が当たった瞬間に分子構造が硬化する、最先端ナノテク防具。"
BODY_018,"防弾ダブルスーツジャケット",BODY,SR,0,28,320,0,8,FALSE,,"裏地に薄型ケブラーを仕込んだ、仕立ての良いヤクザ・エージェント用スーツ。"
BODY_019,"パンクスタッズレザーライダース",BODY,SR,0,36,260,0,0,FALSE,,"無数の金属スタッズとトゲを取り付けた、相手を威圧するライダース。"
BODY_020,"重作業用外骨格ベスト",BODY,SR,8,45,310,0,0,FALSE,,"油圧シリンダーのアシストにより、重い武器の反動を完全に殺すパワーアシストベスト。"
BODY_021,"ウインドブレーカー・カスタム",BODY,SR,0,31,330,4,0,FALSE,,"関節部の伸縮性を極限まで高め、俊敏なフットワークを助ける戦闘用ジャンパー。"
BODY_022,"高級ウールチェスターコート",BODY,SR,0,29,360,0,10,FALSE,,"撥水・防汚だけでなく、衝撃分散素材を織り込んだオーダーメイドの高級ロングコート。"
BODY_023,"サイバーベスト『盾壁』",BODY,SSR,0,58,550,-2,0,FALSE,,"最新鋭の衝撃吸収液晶ポリマーを充填した、最高峰の防弾ベスト。"
BODY_024,"ナノメッシュ・ステルススーツ",BODY,SSR,0,40,480,10,0,FALSE,,"光の反射を微調整し、暗闇での隠密性を極限まで高めた超薄型の軽量ナノベスト。"
BODY_025,"【保留専用：カイト専用】ヴェルヴェット・コート",BODY,SSR,0,60,600,0,0,TRUE,99999999-9999-9999-9999-999999999999,"【保留】対象キャラクターアセット未実装のため枠のみ保留。画像生成なし。"
BODY_026,"【レイジ専用】覇王のライダース",BODY,SSR,15,55,650,0,0,TRUE,11111111-1111-1111-1111-111111111111,"レイジが着用する、裏地に蜘蛛の巣の刺繍が施された特注の極厚レザーライダース。"
BODY_027,"【チャン専用】蛇紋のシルクシャツ",BODY,SSR,0,45,550,0,20,TRUE,22222222-2222-2222-2222-222222222222,"胸元に蛇のタトゥーが見えるよう仕立てられた、チャン愛用の防弾シルク製ドレスシャツ。"
BODY_028,"【ルイ専用】サイバーミニドレス",BODY,SSR,0,40,580,12,0,TRUE,33333333-3333-3333-3333-333333333333,"ルイのコンカフェ衣装を戦闘用に改造した、防弾メッシュ内蔵のフリル付きミニワンピース。"
BODY_029,"【ミオ専用】ボルドーホストスーツ",BODY,SSR,0,48,570,0,18,TRUE,99999999-9999-9999-9999-999999999999,"高級ワインをこぼしても汚れない、防刃ナノテクスーツ。ミオのカリスマ性を引き立てる。"
BODY_030,"【ケンゴ専用】般若刺繍のスカジャン",BODY,SSR,10,52,620,0,0,TRUE,99999999-9999-9999-9999-999999999999,"ケンゴが愛用する、背中に般若と龍の刺繍が施されたヴィンテージサテン의スカジャン。"
LEGS_001,"テックジョガー",LEGS,N,0,3,0,2,0,FALSE,,"ポリエステル素材のカジュアルなジョガーパンツ。裾口がリブ仕様。"
LEGS_002,"ダメージジーンズ",LEGS,N,0,2,0,0,1,FALSE,,"膝や太もも部分に荒々しいカット加工が入ったインディゴジーンズ。"
LEGS_003,"ヘヴィカーゴパンツ",LEGS,N,0,4,20,0,0,FALSE,,"目の詰まったコットンキャンバス地のカーゴズボン。両腿にマチ付きポケット。"
LEGS_004,"スポーツショーツ",LEGS,N,0,1,0,3,0,FALSE,,"吸汗速乾ポリエステルで作られた、ごくシンプルなランニングショーツ。"
LEGS_005,"加圧コンプレッションパンツ",LEGS,R,0,10,0,5,0,FALSE,,"下半身全体をぴったりとサポートする、光沢のある黒いコンプレッションスパッツ。"
LEGS_006,"レザーライダーパンツ",LEGS,R,0,15,50,0,0,FALSE,,"厚手の黒牛革で成形された、膝カップ用のステッチが入ったバイク用革ズボン。"
LEGS_007,"強化カーゴパンツ",LEGS,R,0,12,0,3,0,FALSE,,"擦れやすい膝やヒップ部分を二重生地で補強したコットンカーゴパンツ。"
LEGS_008,"サルエルスウェット",LEGS,R,0,9,0,4,0,FALSE,,"股上が極端に深く、ルーズなシルエットを持つグレーのスウェットズボン。"
LEGS_009,"ストレッチスキニー",LEGS,R,0,8,0,0,3,FALSE,,"非常に伸縮性の高い糸を織り交ぜた、タイトシルエットの黒スキニーパンツ。"
LEGS_010,"作業用オーバーオール",LEGS,R,0,14,40,0,0,FALSE,,"胸部にペンホルダーやツールポケットを備えた、無骨なデニム地オーバーオール。"
LEGS_011,"プロテクト・コンバットパンツ",LEGS,SR,0,25,100,3,0,FALSE,,"膝と脛に頑丈なプラスチック製プロテクターを埋め込んだ、戦闘用ズボン。"
LEGS_012,"強化スチールトゥーブーツ",LEGS,SR,0,22,0,8,0,FALSE,,"つま先に硬化スチールプレートを仕込んだ、強烈なキックを可能にする重戦闘ブーツ。"
LEGS_013,"ナノカーボン・ランニングスパッツ",LEGS,SR,0,18,0,12,0,FALSE,,"下半身の動作をバネのようにアシストする、新開発の軽量ナノ繊維タイツ。"
LEGS_014,"ヘヴィタクティカルグリーブ",LEGS,SR,0,35,150,-2,0,FALSE,,"暴徒の投石やバットでの打撃を完全に無効化する、強固な脛用メタルプレート。"
LEGS_015,"高通気テックメッシュパンツ",LEGS,SR,0,20,0,10,0,FALSE,,"熱がこもらないようサイドにメッシュスリットを入れた、高機能テックウェア。"
LEGS_016,"スパイクスタッズレザーパンツ",LEGS,SR,0,24,0,0,6,FALSE,,"太ももから裾にかけて金属スタッズをびっしりと並べた、凶暴なパンクパンツ。"
LEGS_017,"カーボンファイバー・スニーカー『閃光』",LEGS,SSR,0,20,0,20,0,FALSE,,"特殊な軽量高反発ソールを搭載した、音もなくストリートを疾走するスニーカー。"
LEGS_018,"アーマードブーツ『防塁』",LEGS,SSR,0,38,180,-2,0,FALSE,,"対地雷・破片防御を施した極厚ソールのコンバットブーツ。いかなる罠も防ぎきる。"
LEGS_019,"【保留専用：コハル専用】スピードスター・スニーカー",LEGS,SSR,0,20,0,15,0,TRUE,99999999-9999-9999-9999-999999999999,"【保留】対象キャラクターアセット未実装のため枠のみ保留。画像生成なし。"
LEGS_020,"【保留専用：サクラ専用】漆黒のアサシンロングブーツ",LEGS,SSR,0,22,0,10,10,TRUE,99999999-9999-9999-9999-999999999999,"【保留】対象キャラクターアセット未実装のため枠のみ保留。画像生成なし。"
ACCESSORY_001,"ネオンスタッドピアス",ACCESSORY,N,0,0,0,0,1,FALSE,,"暗闇で鈍く光るネオンブルーの安物アクリル製ピアス。"
ACCESSORY_002,"スチールフラットリング",ACCESSORY,N,0,0,0,0,2,FALSE,,"ステンレススチール製のシンプルな鏡面平打ちの指輪。"
ACCESSORY_003,"レザーベルトチョーカー",ACCESSORY,N,0,0,10,0,0,FALSE,,"合皮の細いストラップにシルバーバックルを備えた首輪。"
ACCESSORY_004,"刻印付きドッグタグ",ACCESSORY,N,2,0,0,0,0,FALSE,,"認識番号が刻印された、錆びたチェーン付き真鍮ドッグタグ。"
ACCESSORY_005,"ラバーリストバンド",ACCESSORY,N,0,0,0,1,0,FALSE,,"ストリートで配布されているシンプルな黒いシリコンバンド。"
ACCESSORY_006,"シルバーチェーンネックレス",ACCESSORY,N,0,0,0,0,3,FALSE,,"安価なシルバーで作られた細めの小判型チェーン。"
ACCESSORY_007,"真鍮アームバングル",ACCESSORY,N,0,2,0,0,0,FALSE,,"ハンマーで叩き出して成形されたシンプルな真鍮製の腕輪。"
ACCESSORY_008,"ネオンラバーキーホルダー",ACCESSORY,N,0,0,0,0,2,FALSE,,"ビビッドピンクのゴム製ロゴチャームキーリング。"
ACCESSORY_009,"スカルピンバッジ",ACCESSORY,N,0,0,15,0,0,FALSE,,"ジャケットの襟元やバッグにピンで固定する小さなドクロの金属バッジ。"
ACCESSORY_010,"編み込み革ブレス",ACCESSORY,N,0,1,0,0,1,FALSE,,"黒とブラウンの本革の紐を編み込んで作ったブレスレット。"
ACCESSORY_011,"ブランドクロノグラフ",ACCESSORY,R,0,0,50,2,0,FALSE,,"アナログ式のクロノグラフ文字盤を備えた、黒塗装のスチールウォッチ。"
ACCESSORY_012,"極太ゴールドチェーン",ACCESSORY,R,0,0,0,0,6,FALSE,,"首元で激しく主張する、18Kメッキが施された極太のマイアミリンクチェーン。"
ACCESSORY_013,"スクエア印台リング",ACCESSORY,R,5,0,0,0,4,FALSE,,"大きな四角い台座を備えた、重厚なキャスト製ブラス指輪。"
ACCESSORY_014,"チタンチョーカー",ACCESSORY,R,0,8,0,2,0,FALSE,,"マット仕上げのチタン合金で作られた首輪。"
ACCESSORY_015,"スパイクスタッズリストバンド",ACCESSORY,R,4,4,0,0,0,FALSE,,"幅3cmの黒レザーバンドに1cmの円錐スタッズを並べたリストバンド。"
ACCESSORY_016,"カミソリ刃ペンダント",ACCESSORY,R,6,0,0,0,0,FALSE,,"本物のカミソリ刃の形状を忠実に再現したシルバー製ペンダント。"
ACCESSORY_017,"ギャンブラーダイス",ACCESSORY,R,0,0,0,0,8,FALSE,,"半透明の赤い樹脂で作られた一対のサイコロ。"
ACCESSORY_018,"ユーティリティベルト",ACCESSORY,R,0,10,30,0,0,FALSE,,"複数のアタッチメント用ループを備えたナイロンウェビング製ベルト。"
ACCESSORY_019,"シルバーゴシックスカルリング",ACCESSORY,R,4,0,0,0,5,FALSE,,"ドクロが細部まで立体的に彫り込まれた925シルバー製リング。"
ACCESSORY_020,"スタッドイヤーカフ",ACCESSORY,R,0,0,0,3,0,FALSE,,"耳たぶの縁に挟み込むだけのシンプルなスチール製イヤーカフ。"
ACCESSORY_021,"スチールウォレットチェーン",ACCESSORY,R,0,0,0,0,7,FALSE,,"ダブルクリップ仕様の頑丈なスチール製リンクチェーン。"
ACCESSORY_022,"ゴシッククロスペンダント",ACCESSORY,R,0,4,60,0,0,FALSE,,"伝統的な百合のモチーフをあしらった中型のシルバー十字架ペンダント。"
ACCESSORY_023,"スマートフィットトラッカー",ACCESSORY,R,0,0,40,4,0,FALSE,,"ラバーバンドとモノクロ液晶を備えた、薄型のデジタルアタッチメント。"
ACCESSORY_024,"コブラバングル",ACCESSORY,R,5,0,0,0,5,FALSE,,"蛇が巻き付くデザインのシルバーバングル。"
ACCESSORY_025,"弾丸シェルネックレス",ACCESSORY,R,8,0,0,0,0,FALSE,,"ライフルの空薬莢をチャームにしたペンダント。"
ACCESSORY_026,"アンティークロケットペンダント",ACCESSORY,SR,0,0,100,0,5,FALSE,,"家族の写真が収められた、細工の細かいアンティークシルバーのロケット。"
ACCESSORY_027,"プラチナ印台リング",ACCESSORY,SR,10,0,0,0,10,FALSE,,"純プラチナを台座にした最高級のシグネットリング。"
ACCESSORY_028,"解錠ツールキーホルダー",ACCESSORY,SR,0,8,0,6,0,FALSE,,"複数のピッキングピンを備えた、隠密活動用のキーホルダー型ツールセット。"
ACCESSORY_029,"ブルーサファイアリング",ACCESSORY,SR,0,0,0,4,12,FALSE,,"深青色のサファイアをあしらった指輪。闘争のツキを呼び込む。"
ACCESSORY_030,"極太クロームチェーン",ACCESSORY,SR,12,0,0,0,8,FALSE,,"職人が一本ずつ磨き上げた、鏡面仕上げ of クローム合金製ヘヴィチェーン。"
ACCESSORY_031,"死神のシルバーチャーム",ACCESSORY,SR,0,0,200,0,0,FALSE,,"鎌を持つ死神を精巧に彫った銀のお守り。死線を彷徨う者を踏みとどまらせる。"
ACCESSORY_032,"百合の刻印ネックレス",ACCESSORY,SR,14,0,0,0,0,FALSE,,"ゴシック様式の百合の紋章が刻まれた、鋭いエッジを持つペンダント。"
ACCESSORY_033,"ヘヴィスパイクチョーカー",ACCESSORY,SR,8,12,0,0,0,FALSE,,"太い本革に3cmの金属スパイクが突き出た、パンクテイストのチョーカー。"
ACCESSORY_034,"ダイヤモンドアンカーリング",ACCESSORY,SR,0,0,80,0,15,FALSE,,"ダイヤモンドを散りばめた錨マークのプラチナ指輪。精神を不動に保つ。"
ACCESSORY_035,"原石ターコイズバングル",ACCESSORY,SR,0,15,0,0,9,FALSE,,"天然のターコイズ原石を嵌め込んだ銀のバングル。"
ACCESSORY_036,"天然水晶チャーム",ACCESSORY,SR,0,0,180,0,10,FALSE,,"水晶の結晶をそのまま吊り下げたペンダント。"
ACCESSORY_037,"スマートウォッチPRO",ACCESSORY,SR,0,0,120,10,0,FALSE,,"空間にシステムウィンドウを投影する、特殊ルートから入手したスマートデバイス。"
ACCESSORY_038,"黒のトライバルシール",ACCESSORY,SR,15,-5,0,0,0,FALSE,,"首元や腕に貼ることで闘争本能を極限まで刺激する、鋭利なタトゥーステッカー。"
ACCESSORY_039,"鉄製シャックルブレス",ACCESSORY,SR,0,12,0,0,10,FALSE,,"鉄格子の手錠をリメイクして作った無骨なブレスレット。"
ACCESSORY_040,"ルビーゴールドチャーム",ACCESSORY,SR,16,0,0,0,0,FALSE,,"鮮血のような深紅のルビーが嵌め込まれた、ゴールドのネックレストップ。"
ACCESSORY_041,"強化カーボン戦闘グローブ",ACCESSORY,SR,10,10,0,2,0,FALSE,,"拳の部分に本物のカーボンファイバーを採用した、軍用の戦闘グローブ。"
